lineage_id,record_id,event_type,event_summary,actor,source_route,event_timestamp,event_hash
ST-LIN-0B1D6040D6DF,POC-RESULTS-SUMMARY,STERILE_POC_RESULTS_SUMMARY_VIEW,Sterile POC results summary viewed and rebuilt,system,/sterile-compounding/poc-results-summary,2026-05-12 23:01:34 UTC,7089339ade0aa6d8b843fbbf9284731ff8988172253560908e9df783b45d5bf7
ST-LIN-FADD62A8E10A,azure-confidential-ledger,STERILE_POC_RESULTS_DETAIL_VIEW,Sterile POC results detail viewed,system,/sterile-compounding/poc-results-summary/<system_key>,2026-05-12 23:01:46 UTC,309c10dc98b918bdd59766155b5e4a4f5bd225f943e7cc1b448347acebb993fb
